camera,frame_index,snapshot_id,score_frac_gt40,cam_median,threshold,is_object,filename
underA1,50,raw_1783482318751_222,0.04105,0.05326,0.06817,0,18_stitch__under-xlj-all__underA1.jpg
underA2,1,raw_1783480173576_15,0.20857,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,2,raw_1783480305078_18,0.2197,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,3,raw_1783480368695_21,0.18546,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,4,raw_1783480430847_24,0.16503,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,5,raw_1783480529399_26,0.17154,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,6,raw_1783480577806_28,0.18929,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,7,raw_1783480629800_30,0.18538,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,8,raw_1783480673086_32,0.20701,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,9,raw_1783480714059_34,0.19901,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,10,raw_1783480754536_36,0.17817,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,11,raw_1783480790320_38,0.16996,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,12,raw_1783480829340_40,0.11955,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,13,raw_1783480861735_42,0.12942,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,14,raw_1783480899622_44,0.10361,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,15,raw_1783480949356_46,0.08714,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,16,raw_1783480984407_49,0.06248,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,17,raw_1783481016591_53,0.05596,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,18,raw_1783481051643_56,0.05174,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,19,raw_1783481082142_61,0.04799,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,20,raw_1783481118478_65,0.08895,0.05666,0.07252,1,17_stitch__under-xlj-all__underA2.jpg
underA2,21,raw_1783481148210_70,0.05857,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,22,raw_1783481175178_74,0.05573,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,23,raw_1783481213966_79,0.06164,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,24,raw_1783481245428_84,0.05247,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,25,raw_1783481275385_89,0.05809,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,26,raw_1783481309470_93,0.05538,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,27,raw_1783481340033_98,0.06431,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,28,raw_1783481364097_102,0.05397,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,29,raw_1783481395255_106,0.04529,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,30,raw_1783481423599_110,0.04041,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,31,raw_1783481461782_114,0.04368,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,32,raw_1783481494815_118,0.05599,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,33,raw_1783481526381_123,0.05079,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,34,raw_1783481559073_128,0.04465,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,35,raw_1783481588485_132,0.04393,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,36,raw_1783481613268_137,0.04749,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,37,raw_1783481645023_142,0.04923,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,38,raw_1783481673293_147,0.0523,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,39,raw_1783481702895_152,0.05076,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,40,raw_1783481733321_157,0.04972,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,41,raw_1783481933195_165,0.04781,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,42,raw_1783481967321_170,0.05732,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,43,raw_1783482001405_174,0.05063,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,44,raw_1783482030217_178,0.06207,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,45,raw_1783482108424_186,0.05112,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,46,raw_1783482176407_192,0.05099,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,47,raw_1783482208380_197,0.05223,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,48,raw_1783482241881_202,0.05916,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,49,raw_1783482270614_207,0.05911,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA2,50,raw_1783482318751_222,0.05497,0.05666,0.07252,0,17_stitch__under-xlj-all__underA2.jpg
underA3,1,raw_1783480173576_15,0.13106,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,2,raw_1783480305078_18,0.15833,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,3,raw_1783480368695_21,0.08566,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,4,raw_1783480430847_24,0.075,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,5,raw_1783480529399_26,0.10774,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,6,raw_1783480577806_28,0.15179,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,7,raw_1783480629800_30,0.16203,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,8,raw_1783480673086_32,0.21713,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,9,raw_1783480714059_34,0.21654,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,10,raw_1783480754536_36,0.19436,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,11,raw_1783480790320_38,0.21857,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,12,raw_1783480829340_40,0.22173,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,13,raw_1783480861735_42,0.28545,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,14,raw_1783480899622_44,0.22272,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,15,raw_1783480949356_46,0.17668,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,16,raw_1783480984407_49,0.1681,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,17,raw_1783481016591_53,0.13224,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,18,raw_1783481051643_56,0.08729,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,19,raw_1783481082142_61,0.08023,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,20,raw_1783481118478_65,0.16016,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,21,raw_1783481148210_70,0.12347,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,22,raw_1783481175178_74,0.11644,0.07848,0.10045,1,16_stitch__under-xlj-all__underA3.jpg
underA3,23,raw_1783481213966_79,0.07814,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,24,raw_1783481245428_84,0.07882,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,25,raw_1783481275385_89,0.07169,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,26,raw_1783481309470_93,0.07123,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,27,raw_1783481340033_98,0.0798,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,28,raw_1783481364097_102,0.07355,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,29,raw_1783481395255_106,0.05471,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,30,raw_1783481423599_110,0.04951,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,31,raw_1783481461782_114,0.06178,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,32,raw_1783481494815_118,0.06794,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,33,raw_1783481526381_123,0.05988,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
